index,title,colors,color_hex,subjects,painting_url,image
11,Galactic Serenity Amidst the Pines,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Midnight Black, Burnt Umber, Indian Yellow, Phthalo Blue, Yellow Ochre","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #000000, #8A3324, #FFB800, #0C0040, #C79B00","Mountains, Lake, Forest, Galaxy, Trees, Stars, Grass, River",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Galactic%20Serenity%20Amidst%20the%20Pines.PNG?alt=media&token=3b4701d2-97df-4fe2-a2f5-0e1acd1c738a,
12,Galactic Twilight,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Indian Yellow","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #ffb800","Galaxy, Planets, Stars, Trees, Lake, Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Galactic%20Twilight.png?alt=media&token=a13b9f39-bc66-4720-828b-da0eb07f0144,
13,Interstellar Artistry on the Martian Frontier,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Astronauts, Easels, Paintings, Planets, Rocks, Desert, Sky",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Interstellar%20Artistry%20on%20the%20Martian%20Frontier.jpg?alt=media&token=58148fd7-9ed4-44ca-979f-ada378af8dd2,
14,Luminous Nightfall,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Van Dyke Brown","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #221b15","Stars, Galaxy, Trees, Lake, Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Luminous%20Nightfall.png?alt=media&token=beaca05c-9e42-42ac-9972-4d98240666f1,
15,Luminous Orbs Over the Tranquil Range,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Indian Yellow, Phthalo Blue, Sap Green, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #FFB800, #0C0040, #0A3410, #000000","Mountains, Lake, Trees, Planets, Stars, Sun, Nebula, Clouds",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Luminous%20Orbs%20Over%20the%20Tranquil%20Range.PNG?alt=media&token=c9708096-b291-4d5a-bec0-93b6994f4ff4,
16,Lunar Whispers,"Alizarin Crimson, Bright Red, Cadmium Yellow,  Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue","#4e1500, #db0000, #ffec00, #102e3c, #021e44, #ffffff, #221b15, #ffb800, #0c0040","Stars, Trees, River, Mountains, Planets ",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Lunar%20Whispers.png?alt=media&token=da37ec75-0b31-40c0-89c9-51eb647740d9,
17,Majestic Twilight Surge,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Sun, Sky, Cliffs, Waves, Beach, Planets, Clouds, Moon, Sand",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Majestic%20Twilight%20Surge.png?alt=media&token=33003252-bdf5-4ac6-930c-044d17cd748f,
18,Midnight Serenade,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green,
Prussian Blue,
Titanium White,
Van Dyke Brown,
Sap Green,
Phthalo Blue,","#4e1500, #db0000, #ffec00, #102e3c,  #021e44, #ffffff, #221b15, #0a3410, #0c0040","Moon,Stars,Trees,
River, Mountains,",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Midnight%20Serenade.png?alt=media&token=21eff6bd-fce5-49ba-8641-dc9d043eb46c,
19,Orbiting Perspectives,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Indian Yellow","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #ffb800","Earth, Planets, Stars, Sun, Galaxy",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Orbiting%20Perspectives.png?alt=media&token=3e9cceeb-8cb2-49ec-81bf-e16766a48183,
20,Shooting Star Dusk,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Indian Yellow","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #ffb800","Shooting Stars, Trees, Lake, Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Shooting%20Star%20Dusk.jpg?alt=media&token=2297e65b-4f04-4266-bd0a-cb2501af7e70,
21,Stellar Harmony at Dusk,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Indian Yellow, Phthalo Blue, Sap Green, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #FFB800, #0C0040, #0A3410, #000000","Mountains, River, Forest, Galaxy, Stars, Sunset, Trees, Nebula, Clouds",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Stellar%20Harmony%20at%20Dusk.PNG?alt=media&token=ae53181a-f1c5-45e5-a0df-f0e54d8bbc0a,
22,Sunset's Embrace on Serene Shores,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Sun, Sky, Cliffs, Waves, Beach, Trees, Rocks, Sand, Clouds",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Sunset_s%20Embrace%20on%20Serene%20Shores.png?alt=media&token=c552eeff-1d04-42f7-8d89-7ee205dd2a04,
23,Twilight Whispers Among the Evergreens,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Black Gesso, Burnt Umber, Indian Yellow, Yellow Ochre.","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #000000, #8A3324, #FFB800, #C79B00","Trees, Sky, Forest, Stars, Moon, River",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Twilight%20Whispers%20Among%20the%20Evergreens.PNG?alt=media&token=98bf8690-33b1-411e-9235-7a7a6115db73,
24,Twilight Whispers in the Enchanted Forest,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Cabin, Trees, Mountains, River, Sky, Planets, Log, Sun",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Twilight%20Whispers%20in%20the%20Enchanted%20Forest.png?alt=media&token=3b2b9668-6936-4f6d-b9dd-6933d897f3c0,
25,Vortex Over the Desert,"Alizarin Crimson,
Cadmium Yellow,
Titanium White,
Phthalo Blue,
Bright Red,
Prussian Blue,
Sap Green","#4e1500,
#ffec00,
#ffffff,
#0c0040,
#db0000,
#021e44,
#0a3410","Spiral, Cactus,
Buttes,
Path,
Bush",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Vortex%20Over%20the%20Desert.png?alt=media&token=91ac0c98-cb9d-4aea-ad5c-08866df2a835,
26,Vortex Twilight,"Alizarin Crimson, Cadmium Yellow, Titanium White, Phthalo Blue, Bright Red, Prussian Blue, Sap Green","#4e1500, #ffec00, #ffffff, #0c0040, #db0000, #021e44, #0a3410","Spiral, Trees, Cabin, River, Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Vortex%20Twilight.png?alt=media&token=f2a704a3-155b-467f-bc55-3ac7949af8a6,
27,Voyage Through the Vermilion Vista,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Indian Yellow, Phthalo Blue, Black Gesso","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #FFFFFF, #221B15, #FFB800, #0C0040, #000000","Planets, Mountains, Astronauts, Sky, Desert, Bushes, Rocks, Sand",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Voyage%20Through%20the%20Vermilion%20Vista.jpg?alt=media&token=22160c9d-2753-481e-9cc4-75f2f49cb513,
28,Winter's Night Whisper,"Alizarin Crimson,
Bright Red,
Cadmium Yellow,
Titanium White,
Phthalo Blue,
Prussian Blue,
Van Dyke Brown","#4e1500,
#db0000,
#ffec00,
#ffffff,
#0c0040,
#021e44,
#221b15","Spiral, Cabin,
Trees,
River,
Mountains",https://firebasestorage.googleapis.com/v0/b/happy-little-galaxies.appspot.com/o/Winter_s%20Night%20Whisper.png?alt=media&token=a7e37221-bc5d-4c9a-aa75-e264042bd6e9,
